1,WR,1,1,1
1,WR,2,2,2
1,WR,3,3,3
1,RD,2,4,4
1,RD,3,5,5
1,WR,4,6,6
1,WR,5,7,7
1,WR,6,8,8
1,WR,7,9,9
1,RD,7,10,10
1,RD,7,11,11
1,WR,8,12,12
1,RD,7,13,13
1,WR,9,14,14
1,RD,7,15,15
1,RD,8,16,16
1,RD,7,17,17
1,RD,9,18,18
1,WR,10,19,19
1,RD,4,20,20
1,RD,9,21,21
1,RD,10,22,22
1,SIG,857338,nil,857338
2,WT,857338,nil,857338
2,RD,1,23,23
1,RD,7,17,24
1,RD,9,18,25
2,WR,1,24,26
2,RD,1,25,27
1,WR,11,19,28
2,RD,8,26,29
1,RD,4,20,30
1,RD,9,21,31
1,RD,11,22,32
1,SIG,735856,nil,735856
3,WT,735856,nil,735856
3,RD,1,23,33
1,RD,7,17,34
1,RD,9,18,35
1,WR,12,19,36
1,RD,4,20,37
1,RD,9,21,38
1,RD,12,22,39
1,SIG,372309,nil,372309
4,WT,372309,nil,372309
4,RD,1,23,40
1,RD,7,17,41
1,RD,9,18,42
1,WR,13,19,43
1,RD,4,20,44
1,RD,9,21,45
1,RD,13,22,46
1,SIG,721544,nil,721544
5,WT,721544,nil,721544
1,RD,7,17,47
1,RD,9,18,48
1,WR,14,19,49
1,RD,4,20,50
1,RD,9,21,51
1,RD,14,22,52
1,SIG,542105,nil,542105
6,WT,542105,nil,542105
5,RD,1,23,53
3,RD,8,26,54
6,RD,8,26,55
1,RD,7,17,56
1,RD,9,18,57
5,RD,8,26,58
1,WR,15,19,59
1,RD,4,20,60
1,RD,9,21,61
4,RD,8,26,62
1,RD,15,22,63
1,SIG,441747,nil,441747
7,WT,441747,nil,441747
1,RD,7,17,64
1,RD,9,18,65
1,WR,16,19,66
1,RD,4,20,67
1,RD,9,21,68
1,RD,16,22,69
1,SIG,571711,nil,571711
8,WT,571711,nil,571711
7,RD,8,26,70
1,RD,7,17,71
1,RD,9,18,72
1,WR,17,19,73
1,RD,4,20,74
1,RD,9,21,75
1,RD,17,22,76
1,SIG,970716,nil,970716
9,WT,970716,nil,970716
8,RD,8,26,77
1,RD,7,17,78
1,RD,9,18,79
1,WR,18,19,80
9,RD,8,26,81
1,RD,4,20,82
1,RD,9,21,83
1,RD,18,22,84
1,SIG,529516,nil,529516
10,WT,529516,nil,529516
1,RD,7,17,85
1,RD,9,18,86
1,WR,19,19,87
1,RD,4,20,88
1,RD,9,21,89
1,RD,19,22,90
10,RD,8,26,91
1,SIG,942611,nil,942611
11,WT,942611,nil,942611
11,RD,8,26,92
1,RD,7,17,93
11,WR,4,27,94
1,RD,5,28,95
