1,WR,1,1,1
1,WR,2,2,2
1,WR,3,3,3
1,RD,3,4,4
1,WR,4,5,5
1,RD,3,6,6
1,RD,4,7,7
1,WR,5,8,8
1,WR,6,9,9
1,WR,7,10,10
1,RD,2,11,11
1,WR,8,12,12
1,WR,7,13,13
1,WR,9,14,14
1,RD,3,6,15
1,RD,4,7,16
1,WR,10,9,17
1,WR,11,10,18
1,RD,2,11,19
1,WR,12,12,20
1,WR,11,13,21
1,WR,13,14,22
1,RD,3,6,23
1,RD,3,15,24
1,RD,4,16,25
1,RD,9,17,26
1,SIG,210802,nil,210802
2,WT,210802,nil,210802
1,RD,3,15,27
1,RD,4,16,28
1,RD,13,17,29
1,SIG,297127,nil,297127
3,WT,297127,nil,297127
2,RD,8,18,30
2,RD,5,19,31
2,RD,7,20,32
2,RD,4,21,33
2,RD,9,22,34
2,RD,6,23,35
2,WR,6,24,36
2,RD,1,25,37
2,WR,1,26,38
1,RD,3,15,39
1,RD,3,27,40
1,RD,4,28,41
1,RD,9,29,42
3,RD,12,18,43
3,RD,5,19,44
3,RD,11,20,45
3,RD,4,21,46
3,RD,13,22,47
3,RD,10,23,48
3,WR,10,24,49
3,RD,1,25,50
3,RD,12,18,51
3,RD,5,19,52
2,RD,8,18,53
2,RD,5,19,54
3,RD,11,20,55
3,RD,4,21,56
3,RD,13,22,57
3,RD,10,23,58
3,WR,10,24,59
2,RD,7,20,60
2,RD,4,21,61
2,RD,9,22,62
2,RD,6,23,63
2,WR,6,24,64
1,RD,3,27,65
1,RD,4,28,66
1,RD,13,29,67
1,WT,269394,nil,269394
3,SIG,269394,nil,269394
1,RD,3,27,68
1,RD,3,30,69
1,RD,4,31,70
1,RD,9,32,71
1,RD,6,33,72
1,RD,3,30,73
1,RD,4,31,74
1,RD,13,32,75
1,RD,10,33,76
1,RD,3,30,77
