1,WR,1,1,1
1,WR,2,2,2
1,WR,3,3,3
1,WR,4,4,4
1,WR,5,5,5
1,WR,6,6,6
1,WR,7,7,7
1,WR,8,8,8
1,RD,1,9,9
1,RD,2,10,10
1,RD,8,11,11
1,RD,5,12,12
1,WR,9,13,13
1,SIG,395143,nil,395143
2,WT,395143,nil,395143
1,RD,5,12,14
2,RD,9,14,15
1,WR,10,13,16
2,RD,7,15,17
2,RD,6,16,18
2,RD,7,17,19
2,WR,7,18,20
1,SIG,501314,nil,501314
3,WT,501314,nil,501314
3,RD,10,14,21
3,RD,7,15,22
1,RD,5,12,23
1,WR,11,13,24
1,SIG,514627,nil,514627
4,WT,514627,nil,514627
4,RD,11,14,25
4,RD,7,15,26
1,RD,5,12,27
1,WR,12,13,28
1,SIG,577439,nil,577439
5,WT,577439,nil,577439
1,RD,5,12,29
1,WR,13,13,30
1,SIG,148242,nil,148242
6,WT,148242,nil,148242
5,RD,12,14,31
5,RD,7,15,32
6,RD,13,14,33
6,RD,7,15,34
1,RD,5,12,35
1,WR,14,13,36
1,SIG,2055,nil,2055
7,WT,2055,nil,2055
7,RD,14,14,37
7,RD,7,15,38
1,RD,5,12,39
1,WR,15,13,40
1,SIG,33760,nil,33760
8,WT,33760,nil,33760
1,RD,5,12,41
1,WR,16,13,42
1,SIG,962623,nil,962623
9,WT,962623,nil,962623
8,RD,15,14,43
8,RD,7,15,44
1,RD,5,12,45
1,WR,17,13,46
1,SIG,731099,nil,731099
10,WT,731099,nil,731099
9,RD,16,14,47
9,RD,7,15,48
1,RD,5,12,49
10,RD,17,14,50
10,RD,7,15,51
1,WR,18,13,52
1,SIG,38319,nil,38319
11,WT,38319,nil,38319
1,RD,5,12,53
11,RD,18,14,54
11,RD,7,15,55
1,WR,19,13,56
1,SIG,263296,nil,263296
12,WT,263296,nil,263296
12,RD,19,14,57
12,RD,7,15,58
1,RD,5,12,59
1,WR,20,13,60
1,SIG,960697,nil,960697
13,WT,960697,nil,960697
13,RD,20,14,61
13,RD,7,15,62
1,RD,5,12,63
1,WR,21,13,64
1,SIG,798168,nil,798168
14,WT,798168,nil,798168
7,RD,3,19,65
7,WR,3,20,66
1,RD,5,12,67
14,RD,21,14,68
1,WR,22,13,69
14,RD,3,19,70
1,SIG,133337,nil,133337
15,WT,133337,nil,133337
13,RD,3,19,71
15,RD,22,14,72
1,RD,5,12,73
15,RD,3,19,74
1,WR,23,13,75
8,RD,3,19,76
4,RD,3,19,77
5,RD,3,19,78
6,RD,3,19,79
3,RD,3,19,80
11,RD,3,19,81
12,RD,3,19,82
9,RD,3,19,83
10,RD,3,19,84
1,SIG,844062,nil,844062
16,WT,844062,nil,844062
16,RD,23,14,85
1,RD,5,12,86
1,WR,24,13,87
1,SIG,648192,nil,648192
17,WT,648192,nil,648192
1,RD,5,12,88
1,WR,25,13,89
17,RD,24,14,90
1,SIG,206478,nil,206478
18,WT,206478,nil,206478
18,RD,25,14,91
1,RD,5,12,92
