1,WR,1,1,1
1,WR,2,2,2
1,WR,3,3,3
1,WR,4,4,4
1,WR,5,5,5
1,WR,6,6,6
1,WR,7,7,7
1,WR,8,8,8
1,WR,9,9,9
1,RD,1,10,10
1,RD,2,11,11
1,RD,2,12,12
1,RD,2,13,13
1,WR,10,14,14
1,WR,11,15,15
1,WR,12,16,16
1,WR,13,17,17
1,WR,14,14,18
1,WR,15,15,19
1,WR,12,16,20
1,WR,16,17,21
1,WR,17,14,22
1,WR,18,15,23
1,WR,12,16,24
1,WR,19,17,25
1,SIG,901424,nil,901424
2,WT,901424,nil,901424
2,RD,7,18,26
2,RD,8,19,27
2,LK,1,nil,1
2,LK,1,nil,1
1,RD,13,20,28
2,RD,9,21,29
1,SIG,668475,nil,668475
3,WT,668475,nil,668475
2,RD,8,22,30
2,RD,3,23,31
2,WR,9,24,32
2,RD,8,25,33
2,WR,3,26,34
2,UK,1,nil,0
2,UK,1,nil,0
2,RD,7,18,35
2,RD,8,19,36
2,LK,1,nil,2
2,LK,1,nil,2
2,RD,9,21,37
2,RD,8,22,38
1,RD,16,20,39
2,RD,3,23,40
2,WR,9,24,41
3,RD,10,27,42
2,RD,8,25,43
1,SIG,571462,nil,571462
4,WT,571462,nil,571462
3,RD,12,28,44
2,WR,3,26,45
2,UK,1,nil,0
2,UK,1,nil,0
2,RD,7,18,46
3,LK,1,nil,3
3,LK,1,nil,3
2,RD,8,19,47
3,RD,12,29,48
3,RD,3,30,49
3,RD,12,31,50
3,RD,4,32,51
3,RD,12,33,52
3,RD,5,34,53
3,RD,12,35,54
3,RD,3,36,55
3,RD,11,37,56
1,RD,19,20,57
4,RD,14,27,58
1,SIG,567078,nil,567078
5,WT,567078,nil,567078
4,RD,12,28,59
3,WR,20,38,60
3,RD,12,39,61
3,RD,3,40,62
3,WR,3,41,63
3,RD,12,42,64
3,RD,6,43,65
3,WR,6,44,66
3,UK,1,nil,0
3,UK,1,nil,0
4,LK,1,nil,4
4,LK,1,nil,4
3,RD,10,27,67
4,RD,12,29,68
3,RD,12,28,69
4,RD,3,30,70
4,RD,12,31,71
4,RD,4,32,72
4,RD,12,33,73
4,RD,5,34,74
4,RD,12,35,75
4,RD,3,36,76
4,RD,15,37,77
4,WR,21,38,78
4,RD,12,39,79
4,RD,3,40,80
4,WR,3,41,81
5,RD,17,27,82
4,RD,12,42,83
5,RD,12,28,84
4,RD,6,43,85
4,WR,6,44,86
4,UK,1,nil,0
4,UK,1,nil,0
5,LK,1,nil,5
5,LK,1,nil,5
4,RD,14,27,87
5,RD,12,29,88
4,RD,12,28,89
5,RD,3,30,90
5,RD,12,31,91
5,RD,4,32,92
5,RD,12,33,93
5,RD,5,34,94
5,RD,12,35,95
5,RD,3,36,96
